package_name,version,license_type,source_project
ai-trackdown-pytools,1.5.11,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
anyascii,0.3.2,ISC License (ISCL),management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
aiofiles,25.1.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
aiohappyeyeballs,2.6.1,Python Software Foundation License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
aiohttp,3.13.2,Apache-2.0 AND MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
aiohttp-cors,0.7.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
aiosignal,1.4.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
aiosqlite,0.20.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
alembic,1.13.1,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
altair,6.0.0,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
annotated-doc,0.0.4,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
annotated-types,0.6.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
anthropic,0.75.0,MIT License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
anyio,4.12.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
appnope,0.1.4,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
apprise,1.7.3,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
asgi-lifespan,2.1.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
asttokens,2.4.1,Apache 2.0,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
async-timeout,4.0.3,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
asyncpg,0.29.0,Apache Software License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
attrs,23.2.0,MIT,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
Authlib,1.6.6,BSD License,management-ui/backend; particle-analytics-quickstarts; particle-api-quickstarts
